NUMBER OF OBJECTS IN THE ENVIRONMENT: 113
            index: 0	            object id: 0	            handle: frl_apartment_basket_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.178558, -0.180039, -0.192332}, {0.180914, 0.213753, 0.191654})	            global com: Vector(-1.99578, 1.0889, 0.0578794)	            translation wrt SceneNode: Vector(-1.99578, 1.0889, 0.0578794)	            rotation wrt SceneNode: Quaternion({-5.20255e-07, 0.174285, 3.54069e-07}, 0.984695)        
            index: 14	            object id: 14	            handle: frl_apartment_table_04_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.266195, -0.309099, -0.277271}, {0.275612, 0.265983, 0.271943})	            global com: Vector(4.19997, 0.279831, 6.62443)	            translation wrt SceneNode: Vector(4.19997, 0.279831, 6.62443)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
            index: 15	            object id: 15	            handle: frl_apartment_indoor_plant_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.332879, -1.10158, -0.415015}, {0.410989, 0.777276, 0.388162})	            global com: Vector(4.08987, 1.07232, 7.59714)	            translation wrt SceneNode: Vector(4.08987, 1.07232, 7.59714)	            rotation wrt SceneNode: Quaternion({9.79441e-07, 1, -3.54807e-06}, 5.66999e-05)        
            index: 16	            object id: 16	            handle: frl_apartment_indoor_plant_02_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.332879, -1.10158, -0.415015}, {0.410989, 0.777276, 0.388162})	            global com: Vector(0.697055, 1.07257, 4.48542)	            translation wrt SceneNode: Vector(0.697055, 1.07257, 4.48542)	            rotation wrt SceneNode: Quaternion({4.34722e-06, -0.00655224, -0.000967823}, 0.999978)        
            index: 17	            object id: 17	            handle: frl_apartment_rug_01_:0000	            motion type: static	            collidable: True	            local collision mesh: Range({-0.89447, -0.0488244, -1.28695}, {0.89447, 0.0488244, 1.28695})	            global com: Vector(1.29562, -0.0013211, 2.3176)	            translation wrt SceneNode: Vector(1.29562, -0.0013211, 2.3176)	            rotation wrt SceneNode: Quaternion({5.96046e-08, 0.455884, -4.47035e-08}, 0.890039)        
            index: 18	            object id: 18	            handle: frl_apartment_rug_02_:0000	            motion type: static	            collidable: True	            local collision mesh: Range({-1.43423, -0.0488244, -1.29699}, {1.43423, 0.0488244, 1.29699})	            global com: Vector(2.47757, -0.00135826, 5.63906)	            translation wrt SceneNode: Vector(2.47757, -0.00135826, 5.63906)	            rotation wrt SceneNode: Quaternion({8.9407e-08, 0, 0}, 1)        
            index: 19	            object id: 19	            handle: frl_apartment_table_03_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.648994, -0.38236, -0.400393}, {0.649032, 0.100017, 0.397372})	            global com: Vector(1.98977, 0.353089, 5.8211)	            translation wrt SceneNode: Vector(1.98977, 0.353089, 5.8211)	            rotation wrt SceneNode: Quaternion({-4.32077e-06, -0.312255, -2.30894e-06}, 0.949998)        
            index: 20	            object id: 20	            handle: frl_apartment_cushion_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.246987, -0.18741, -0.243446}, {0.272206, 0.119014, 0.268869})	            global com: Vector(2.04907, 0.515707, 7.46246)	            translation wrt SceneNode: Vector(2.04907, 0.515707, 7.46246)	            rotation wrt SceneNode: Quaternion({0.922264, 0.190767, -0.32369}, 0.0908962)        
            index: 21	            object id: 21	            handle: frl_apartment_chair_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.446496, -0.387141, -0.410629}, {0.445824, 0.467121, 0.392862})	            global com: Vector(1.97103, 0.357849, 7.55058)	            translation wrt SceneNode: Vector(1.97103, 0.357849, 7.55058)	            rotation wrt SceneNode: Quaternion({-4.72075e-05, -0.0190889, 2.31357e-05}, 0.999818)        
            index: 22	            object id: 22	            handle: frl_apartment_chair_01_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.446496, -0.387141, -0.410629}, {0.445824, 0.467121, 0.392862})	            global com: Vector(1.15811, 0.357848, 7.59527)	            translation wrt SceneNode: Vector(1.15811, 0.357848, 7.59527)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
            index: 23	            object id: 23	            handle: frl_apartment_towel_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.28769, -0.117733, -0.309546}, {0.234826, 0.165467, 0.389085})	            global com: Vector(1.14238, 0.475401, 7.42305)	            translation wrt SceneNode: Vector(1.14238, 0.475401, 7.42305)	            rotation wrt SceneNode: Quaternion({-0.058176, 0.997722, -0.00833211}, 0.0331323)        
            index: 24	            object id: 24	            handle: frl_apartment_lamp_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.265874, -0.32385, -0.260685}, {0.27819, 0.388067, 0.253758})	            global com: Vector(0.537259, 0.710728, 7.7088)	            translation wrt SceneNode: Vector(0.537259, 0.710728, 7.7088)	            rotation wrt SceneNode: Quaternion({-0.000291309, 0.573295, -0.000211134}, 0.819349)        
            index: 25	            object id: 25	            handle: frl_apartment_stool_02_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.243062, -0.349622, -0.236065}, {0.24, 0.146443, 0.253498})	            global com: Vector(0.563961, 0.320349, 7.77857)	            translation wrt SceneNode: Vector(0.563961, 0.320349, 7.77857)	            rotation wrt SceneNode: Quaternion({-8.6693e-06, -0.707207, -1.34103e-06}, 0.707007)        
            index: 26	            object id: 26	            handle: frl_apartment_remote-control_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0638149, -0.0469782, -0.129231}, {0.0638485, 0.0474289, 0.125893})	            global com: Vector(2.97473, 0.632066, 7.61237)	            translation wrt SceneNode: Vector(2.97473, 0.632066, 7.61237)	            rotation wrt SceneNode: Quaternion({-7.33259e-05, -0.161161, 4.759e-06}, 0.986928)        
            index: 27	            object id: 27	            handle: frl_apartment_remote-control_01_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0638149, -0.0469782, -0.129231}, {0.0638485, 0.0474289, 0.125893})	            global com: Vector(2.81969, 0.632122, 7.66276)	            translation wrt SceneNode: Vector(2.81969, 0.632122, 7.66276)	            rotation wrt SceneNode: Quaternion({0.00077204, 0, 0}, 1)        
            index: 28	            object id: 28	            handle: frl_apartment_tv_object_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.169113, -0.0651994, -0.158116}, {0.16918, 0.0842383, 0.113495})	            global com: Vector(3.58169, 0.650312, 7.67691)	            translation wrt SceneNode: Vector(3.58169, 0.650312, 7.67691)	            rotation wrt SceneNode: Quaternion({-0.000179367, 0.111285, -2.40906e-06}, 0.993788)        
            index: 29	            object id: 29	            handle: frl_apartment_tv_screen_:0000	            motion type: static	            collidable: True	            local collision mesh: Range({-0.942074, -0.480686, -0.115529}, {0.942669, 0.472196, 0.200364})	            global com: Vector(2.61339, 1.35956, 7.85773)	            translation wrt SceneNode: Vector(2.61339, 1.35956, 7.85773)	            rotation wrt SceneNode: Quaternion({8.9407e-08, 0, 0}, 1)        
            index: 30	            object id: 30	            handle: frl_apartment_wall_cabinet_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.51253, -1.10614, -0.232771}, {0.517839, 0.97961, 0.241285})	            global com: Vector(0.542328, 1.07679, 5.4117)	            translation wrt SceneNode: Vector(0.542328, 1.07679, 5.4117)	            rotation wrt SceneNode: Quaternion({-0.000144046, 0.707023, 0.000168734}, 0.70719)        
            index: 31	            object id: 31	            handle: frl_apartment_picture_04_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0938071, -0.116403, -0.0255424}, {0.0938071, 0.116403, 0.0255424})	            global com: Vector(0.602952, 1.2333, 5.3903)	            translation wrt SceneNode: Vector(0.602952, 1.2333, 5.3903)	            rotation wrt SceneNode: Quaternion({-0.00310322, -0.696949, -0.00394335}, 0.717103)        
            index: 32	            object id: 32	            handle: frl_apartment_book_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.107369, -0.149754, -0.0678991}, {0.107369, 0.149754, 0.0678991})	            global com: Vector(0.525808, 1.23658, 5.21734)	            translation wrt SceneNode: Vector(0.525808, 1.23658, 5.21734)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
            index: 33	            object id: 33	            handle: frl_apartment_book_03_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0946131, -0.122537, -0.0482064}, {0.0946131, 0.122537, 0.0482064})	            global com: Vector(0.551823, 1.20946, 5.13811)	            translation wrt SceneNode: Vector(0.551823, 1.20946, 5.13811)	            rotation wrt SceneNode: Quaternion({0.00201032, 0.00260804, -6.91573e-05}, 0.999995)        
            index: 34	            object id: 34	            handle: frl_apartment_book_04_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.092965, -0.116388, -0.0476749}, {0.092965, 0.116388, 0.0476749})	            global com: Vector(0.489665, 1.18477, 5.74261)	            translation wrt SceneNode: Vector(0.489665, 1.18477, 5.74261)	            rotation wrt SceneNode: Quaternion({0.393562, 0.00206456, -0.000817693}, 0.919295)        
            index: 35	            object id: 35	            handle: frl_apartment_book_06_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.134889, -0.173158, -0.0794423}, {0.134889, 0.173158, 0.0794423})	            global com: Vector(0.578621, 1.44775, 5.39191)	            translation wrt SceneNode: Vector(0.578621, 1.44775, 5.39191)	            rotation wrt SceneNode: Quaternion({0.707056, -0.00224973, 0.00240115}, 0.70715)        
            index: 36	            object id: 36	            handle: frl_apartment_book_05_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.123865, -0.127388, -0.0514012}, {0.123865, 0.127388, 0.0514012})	            global com: Vector(0.576465, 1.45975, 5.59922)	            translation wrt SceneNode: Vector(0.576465, 1.45975, 5.59922)	            rotation wrt SceneNode: Quaternion({-0.510503, -0.00257436, -0.00108847}, 0.859871)        
            index: 37	            object id: 37	            handle: frl_apartment_book_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.113551, -0.129703, -0.0535296}, {0.113551, 0.129703, 0.0535296})	            global com: Vector(0.540567, 1.21654, 5.07095)	            translation wrt SceneNode: Vector(0.540567, 1.21654, 5.07095)	            rotation wrt SceneNode: Quaternion({0.000135778, -0.00216699, 0.000232545}, 0.999998)        
            index: 38	            object id: 38	            handle: frl_apartment_book_05_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.123865, -0.127388, -0.0514012}, {0.123865, 0.127388, 0.0514012})	            global com: Vector(0.517563, 1.21421, 5.1683)	            translation wrt SceneNode: Vector(0.517563, 1.21421, 5.1683)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
            index: 39	            object id: 39	            handle: frl_apartment_book_01_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.113551, -0.129703, -0.0535296}, {0.113551, 0.129703, 0.0535296})	            global com: Vector(0.53915, 1.21654, 5.04178)	            translation wrt SceneNode: Vector(0.53915, 1.21654, 5.04178)	            rotation wrt SceneNode: Quaternion({0.000142834, -0.00121906, 0.000207896}, 0.999999)        
            index: 40	            object id: 40	            handle: frl_apartment_book_01_:0002	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.113551, -0.129703, -0.0535296}, {0.113551, 0.129703, 0.0535296})	            global com: Vector(0.540743, 1.21654, 5.10567)	            translation wrt SceneNode: Vector(0.540743, 1.21654, 5.10567)	            rotation wrt SceneNode: Quaternion({-2.62074e-05, 0.00122784, 0.000203576}, 0.999999)        
            index: 41	            object id: 41	            handle: frl_apartment_book_01_:0003	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.113551, -0.129703, -0.0535296}, {0.113551, 0.129703, 0.0535296})	            global com: Vector(0.539528, 0.591079, 5.2996)	            translation wrt SceneNode: Vector(0.539528, 0.591079, 5.2996)	            rotation wrt SceneNode: Quaternion({-0.523002, -0.198831, -0.12673}, 0.819069)        
            index: 42	            object id: 42	            handle: frl_apartment_book_05_:0002	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.123865, -0.127388, -0.0514012}, {0.123865, 0.127388, 0.0514012})	            global com: Vector(0.439296, 0.552868, 5.57943)	            translation wrt SceneNode: Vector(0.439296, 0.552868, 5.57943)	            rotation wrt SceneNode: Quaternion({-0.501113, 0.498874, 0.499092}, 0.500917)        
            index: 43	            object id: 43	            handle: frl_apartment_book_02_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.107369, -0.149754, -0.0678991}, {0.107369, 0.149754, 0.0678991})	            global com: Vector(0.530456, 0.569419, 5.15274)	            translation wrt SceneNode: Vector(0.530456, 0.569419, 5.15274)	            rotation wrt SceneNode: Quaternion({0.329025, -0.625902, 0.626027}, 0.328756)        
            index: 44	            object id: 44	            handle: frl_apartment_book_06_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.134889, -0.173158, -0.0794423}, {0.134889, 0.173158, 0.0794423})	            global com: Vector(0.578841, 0.322972, 5.08574)	            translation wrt SceneNode: Vector(0.578841, 0.322972, 5.08574)	            rotation wrt SceneNode: Quaternion({1, 0.00021567, -0.000447603}, -2.60313e-05)        
            index: 45	            object id: 45	            handle: frl_apartment_book_04_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.092965, -0.116388, -0.0476749}, {0.092965, 0.116388, 0.0476749})	            global com: Vector(0.482199, 0.197428, 5.68575)	            translation wrt SceneNode: Vector(0.482199, 0.197428, 5.68575)	            rotation wrt SceneNode: Quaternion({0.707105, -0.00111696, 0.0014196}, 0.707107)        
            index: 46	            object id: 46	            handle: frl_apartment_book_04_:0002	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.092965, -0.116388, -0.0476749}, {0.092965, 0.116388, 0.0476749})	            global com: Vector(0.529423, 0.197452, 5.51263)	            translation wrt SceneNode: Vector(0.529423, 0.197452, 5.51263)	            rotation wrt SceneNode: Quaternion({0.620074, -0.339895, 0.340147}, 0.619904)        
            index: 47	            object id: 47	            handle: frl_apartment_book_03_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0946131, -0.122537, -0.0482064}, {0.0946131, 0.122537, 0.0482064})	            global com: Vector(0.552023, 0.213341, 5.56687)	            translation wrt SceneNode: Vector(0.552023, 0.213341, 5.56687)	            rotation wrt SceneNode: Quaternion({-0.707092, -0.000373228, -7.45981e-05}, 0.707121)        
            index: 48	            object id: 48	            handle: frl_apartment_book_03_:0002	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0946131, -0.122537, -0.0482064}, {0.0946131, 0.122537, 0.0482064})	            global com: Vector(0.491151, 1.18709, 5.71708)	            translation wrt SceneNode: Vector(0.491151, 1.18709, 5.71708)	            rotation wrt SceneNode: Quaternion({0.910927, -0.000858643, -0.00203095}, -0.412561)        
            index: 49	            object id: 49	            handle: frl_apartment_table_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.690724, -0.62169, -0.40912}, {0.690754, 0.393747, 0.50464})	            global com: Vector(0.894843, 0.592419, 2.41431)	            translation wrt SceneNode: Vector(0.894843, 0.592419, 2.41431)	            rotation wrt SceneNode: Quaternion({-3.28693e-05, 0.951778, 3.35348e-05}, 0.306787)        
            index: 50	            object id: 50	            handle: frl_apartment_bowl_07_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.207279, -0.10372, -0.207213}, {0.207247, 0.112179, 0.2073})	            global com: Vector(0.523979, 0.643835, 2.30042)	            translation wrt SceneNode: Vector(0.523979, 0.643835, 2.30042)	            rotation wrt SceneNode: Quaternion({0.00059802, 0, 0}, 1)        
            index: 51	            object id: 51	            handle: frl_apartment_kitchen_utensil_05_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.384262, -0.112453, -0.192949}, {0.38474, 0.101295, 0.191022})	            global com: Vector(0.976933, 0.652664, 2.6453)	            translation wrt SceneNode: Vector(0.976933, 0.652664, 2.6453)	            rotation wrt SceneNode: Quaternion({0.0027169, -0.313812, -0.00339336}, 0.949475)        
            index: 52	            object id: 52	            handle: frl_apartment_pan_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.132031, -0.0847334, -0.151789}, {0.131882, 0.108609, 0.251128})	            global com: Vector(0.506894, 0.279131, 2.31081)	            translation wrt SceneNode: Vector(0.506894, 0.279131, 2.31081)	            rotation wrt SceneNode: Quaternion({0.000690534, 0, 0}, 1)        
            index: 53	            object id: 53	            handle: frl_apartment_kitchen_utensil_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.219583, -0.0957384, -0.178568}, {0.219858, 0.147142, 0.176656})	            global com: Vector(1.05646, 0.303821, 2.67708)	            translation wrt SceneNode: Vector(1.05646, 0.303821, 2.67708)	            rotation wrt SceneNode: Quaternion({0.000104747, -0.328054, -0.000143839}, 0.944659)        
            index: 54	            object id: 54	            handle: frl_apartment_choppingboard_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.21724, -0.0468435, -0.175871}, {0.21724, 0.0468435, 0.175871})	            global com: Vector(1.05124, 0.241256, 2.68059)	            translation wrt SceneNode: Vector(1.05124, 0.241256, 2.68059)	            rotation wrt SceneNode: Quaternion({1.53543e-05, -0.316257, -3.49781e-06}, 0.948674)        
            index: 55	            object id: 55	            handle: frl_apartment_chair_04_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.28205, -0.508002, -0.328342}, {0.28498, 0.435453, 0.282991})	            global com: Vector(-2.22901, 0.478734, 3.85064)	            translation wrt SceneNode: Vector(-2.22901, 0.478734, 3.85064)	            rotation wrt SceneNode: Quaternion({-6.07046e-07, -0.707118, -2.59844e-07}, 0.707096)        
            index: 56	            object id: 56	            handle: frl_apartment_chair_04_:0001	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.28205, -0.508002, -0.328342}, {0.28498, 0.435453, 0.282991})	            global com: Vector(-2.25867, 0.480062, -2.08758)	            translation wrt SceneNode: Vector(-2.25867, 0.480062, -2.08758)	            rotation wrt SceneNode: Quaternion({-0.00160853, -0.791803, -0.00206975}, 0.610771)        
            index: 57	            object id: 57	            handle: frl_apartment_mat_:0000	            motion type: static	            collidable: True	            local collision mesh: Range({-0.511602, -0.0489685, -0.334114}, {0.511602, 0.0489685, 0.334114})	            global com: Vector(-1.5507, 0.00362248, 1.53427)	            translation wrt SceneNode: Vector(-1.5507, 0.00362248, 1.53427)	            rotation wrt SceneNode: Quaternion({2.98023e-08, -0.707107, 5.96046e-08}, 0.707107)        
            index: 58	            object id: 58	            handle: frl_apartment_indoor_plant_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.302933, -0.629995, -0.290909}, {0.301766, 0.952551, 0.28994})	            global com: Vector(3.41989, 1.7678, -4.13276)	            translation wrt SceneNode: Vector(3.41989, 1.7678, -4.13276)	            rotation wrt SceneNode: Quaternion({-5.16159e-05, -0.00154322, 2.03759e-07}, 0.999999)        
            index: 59	            object id: 59	            handle: frl_apartment_table_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.745181, -0.69112, -0.471512}, {0.745202, 0.138772, 0.470389})	            global com: Vector(0.414384, 0.661853, -0.174695)	            translation wrt SceneNode: Vector(0.414384, 0.661853, -0.174695)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
            index: 60	            object id: 60	            handle: frl_apartment_monitor_:0000	            motion type: static	            collidable: True	            local collision mesh: Range({-0.389591, -0.45414, -0.127801}, {0.389312, 0.287229, 0.13018})	            global com: Vector(0.437345, 1.51334, -0.543189)	            translation wrt SceneNode: Vector(0.437345, 1.51334, -0.543189)	            rotation wrt SceneNode: Quaternion({-1.77636e-15, 1, -8.9407e-08}, -4.37114e-08)        
            index: 61	            object id: 61	            handle: frl_apartment_camera_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0924124, -0.084366, -0.128758}, {0.0895444, 0.132294, 0.137802})	            global com: Vector(0.466997, 1.76378, -0.587222)	            translation wrt SceneNode: Vector(0.466997, 1.76378, -0.587222)	            rotation wrt SceneNode: Quaternion({-0.0283453, -0.704053, 0.0235213}, 0.709192)        
            index: 62	            object id: 62	            handle: frl_apartment_plate_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.165627, -0.0554317, -0.172038}, {0.165968, 0.0531176, 0.172047})	            global com: Vector(-2.02986, 0.964289, 2.63293)	            translation wrt SceneNode: Vector(-2.02986, 0.964289, 2.63293)	            rotation wrt SceneNode: Quaternion({-8.41635e-06, 0.241755, 8.56654e-07}, 0.970337)        
            index: 63	            object id: 63	            handle: frl_apartment_cup_03_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.114429, -0.0739033, -0.107476}, {0.136042, 0.0755505, 0.108271})	            global com: Vector(-2.0324, 0.996772, 2.63957)	            translation wrt SceneNode: Vector(-2.0324, 0.996772, 2.63957)	            rotation wrt SceneNode: Quaternion({0.0622095, -0.771054, -0.0176336}, 0.633479)        
            index: 64	            object id: 64	            handle: frl_apartment_cup_01_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.0961429, -0.0769333, -0.096573}, {0.119328, 0.0835028, 0.0956121})	            global com: Vector(-2.24068, 0.985789, 2.56116)	            translation wrt SceneNode: Vector(-2.24068, 0.985789, 2.56116)	            rotation wrt SceneNode: Quaternion({-2.82947e-05, -0.794836, -1.45196e-05}, 0.606824)        
            index: 65	            object id: 65	            handle: frl_apartment_plate_02_:0000	            motion type: dynamic	            collidable: True	            local collision mesh: Range({-0.231954, -0.0844797, -0.222702}, {0.223362, 0.0861305, 0.215401})	            global com: Vector(-2.08318, 0.99333, 2.25408)	            translation wrt SceneNode: Vector(-2.08318, 0.99333, 2.25408)	            rotation wrt SceneNode: Quaternion({0, 0, 0}, 1)        
